,State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness
241,AR,Ashley County,19.8,37170.0,2011,10.5,64.7,10.3,18613757.0,7.0,68.13069306930693
242,AR,Baxter County,16.8,33312.0,2011,8.883333333333333,64.7,10.3,18613757.0,7.0,67.60538611291369
243,AR,Benton County,12.1,52644.0,2011,6.183333333333334,64.7,10.3,18613757.0,7.0,68.79216043755697
244,AR,Boone County,16.9,38411.0,2011,7.583333333333332,64.7,10.3,18613757.0,7.0,69.93451327433628
245,AR,Bradley County,24.4,31118.0,2011,11.566666666666665,64.7,10.3,18613757.0,7.0,56.85310472659871
246,AR,Calhoun County,16.5,35464.0,2011,9.091666666666667,64.7,10.3,18613757.0,7.0,67.63088570498209
247,AR,Carroll County,18.7,33579.0,2011,6.8916666666666675,64.7,10.3,18613757.0,7.0,69.73578638879845
248,AR,Chicot County,33.4,27966.0,2011,12.541666666666664,64.7,10.3,18613757.0,7.0,55.58209686196264
249,AR,Clark County,23.1,34478.0,2011,9.8,64.7,10.3,18613757.0,7.0,57.819148936170215
250,AR,Clay County,20.1,32564.0,2011,11.6,64.7,10.3,18613757.0,7.0,68.3776025236593
251,AR,Cleburne County,16.2,42265.0,2011,8.766666666666667,64.7,10.3,18613757.0,7.0,70.38838451268359
252,AR,Cleveland County,16.7,41864.0,2011,8.158333333333333,64.7,10.3,18613757.0,7.0,70.18082467314784
253,AR,Columbia County,26.4,33533.0,2011,9.591666666666667,64.7,10.3,18613757.0,7.0,57.66448251910165
254,AR,Conway County,23.0,37830.0,2011,9.425,64.7,10.3,18613757.0,7.0,58.014572089437166
255,AR,Craighead County,20.6,39410.0,2011,7.058333333333334,64.7,10.3,18613757.0,7.0,69.9570653811389
