State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings,TotalCrime,StateCrime,CrimeScore
AZ,Pinal County,13.0,53114.0,2017,5.091666666666667,56.97,8.33,41824609.0,5.0,60.62868263473054,431564,6.13,1281230.484013931,181396.8,2414.0,25912.0,-40205.13646187095
AZ,Santa Cruz County,23.6,39265.0,2017,9.616666666666667,56.97,8.33,41824609.0,5.0,50.13748620170597,46566,0.66,138245.49480168108,18186.8,0.0,25912.0,0.0
AZ,Yavapai County,13.9,49860.0,2017,4.583333333333333,56.97,8.33,41824609.0,5.0,60.4167989179441,228082,3.24,677131.5755134008,100046.4,1402.0,25912.0,-12340.651589996913
AZ,Yuma County,19.0,46013.0,2017,17.183333333333334,56.97,8.33,41824609.0,5.0,61.481515430677106,209507,2.97,621985.974303479,1042797.9,1150.0,25912.0,-9298.126350725532
AZ,Apache County,37.3,33652.0,2018,9.95,54.945,8.37,95355516.0,5.0,47.09029100529101,71731,1.0,477781.753609376,73300.1,0.0,18170.0,0.0
AZ,Cochise County,15.1,49164.0,2018,5.6083333333333325,54.945,8.37,95355516.0,5.0,59.03445674044266,126411,1.77,841991.1789256366,121981.9,589.0,18170.0,-4097.74788112273
AZ,Coconino County,15.9,60187.0,2018,5.525,54.945,8.37,95355516.0,5.0,59.04523337222871,142523,1.99,949309.0695747876,136617.6,405.0,18170.0,-3176.7647220693448
AZ,Gila County,20.4,43585.0,2018,5.8,54.945,8.37,95355516.0,5.0,52.68698473282443,53801,0.75,358354.63225018524,47845.8,570.0,18170.0,-1687.758392955421
AZ,Graham County,20.2,50157.0,2018,5.091666666666667,54.945,8.37,95355516.0,5.0,52.91168863261944,37995,0.53,253074.9289482684,43130.0,126.0,18170.0,-263.47660979636765
AZ,Greenlee County,10.5,65818.0,2018,4.175,54.945,8.37,95355516.0,5.0,57.93222316865418,9448,0.13,62930.69953160258,8082.6,31.0,18170.0,-16.119317556411666
AZ,La Paz County,23.7,37350.0,2018,6.25,54.945,8.37,95355516.0,5.0,52.472128547579295,21039,0.29,140135.3712368106,18382.5,294.0,18170.0,-340.4219042377545
AZ,Maricopa County,12.3,65234.0,2018,4.133333333333333,54.945,8.37,95355516.0,5.0,58.03871196754565,4402403,61.5,29323274.81054464,6129025.7,0.0,18170.0,0.0
